,Director_Avg_Movie_Revenue,Keywords_Avg_Revenue,Studios_Avg_Movie_Revenue,Lead_Actor_Avg_Movie_Revenue,Budget,Class
1060,14375181.0,125399398.95,141026695.61,46924862.5,51000000.0,0
1061,59034326.0,44739721.32,103450339.05,144430838.57,40000000.0,1
1062,28921490.0,51867901.24,114710780.36,215645877.91,40000000.0,0
1063,22851475.44,76493295.44,99204628.79,19650237.0,40000000.0,0
1064,10329231.67,51356267.79,62224850.4,0.0,30000000.0,0
1065,77584735.25,33647635.16,102933760.51,64778140.2,40000000.0,0
1066,28121100.0,31036901.26,85942770.99,28121100.0,40000000.0,0
1067,72826856.6,163081933.15,144695944.19,129427427.75,40000000.0,0
1068,9661067.5,56988121.38,48643903.81,258201437.8,40000000.0,0
1069,37697032.0,21548971.84,58846779.42,38761714.3,36547234.16992855,0
1070,10667893.0,99313293.68,52678195.91,17379868.67,24000000.0,0
1071,35655020.83,152329863.46,18239650.86,30437307.5,40000000.0,0
1072,31067068.5,47245200.57,112859486.2,118223549.24,40000000.0,0
1073,0.0,34570435.33,0.0,75075723.5,40000000.0,0
1074,13644292.0,90381969.27,44373844.18,62905324.75,40000000.0,0
1075,146773177.67,90523438.42,140619381.85,338393100.125,20000000.0,1
1076,49951228.67,23001261.88,23059513.14,7563728.0,20000000.0,0
1077,8648622.0,33026159.27,74460293.1,29529022.64,25000000.0,0
1078,0.0,50210942.64,52311414.64,23269481.0,36547234.16992855,0
1079,186840535.5,75968355.73,80259933.89,94000000.0,23000000.0,1
1080,155402603.67,105960615.68,97855185.8,70483708.0,39000000.0,1
1081,28901190.0,64221921.78,114765159.78,17371372.5,36547234.16992855,1
1082,238387017.21,53918119.83,247826540.0,35287788.0,39000000.0,0
1083,314035182.495,94851436.87,194401336.1,19434732.0,40000000.0,0
1084,6614280.0,36279752.18,44169132.58,42790362.33,39000000.0,0
1085,130950684.67,83782158.38,124892673.25,89511467.08,40000000.0,1
1086,143609942.83,115186745.88,95529117.19,97346159.22,38000000.0,1
1087,106407369.2,150019174.48,96050984.82,125152977.5,38000000.0,1
1088,56820067.67,107843119.36,141909424.88,56487931.82,39000000.0,0
1089,120000000.0,106731184.65,152176544.88,125275392.17,35000000.0,1
1090,314035182.495,117271963.7,208142959.84,57078115.0,38000000.0,1
1091,39315145.5,66648375.58,115945712.06,119451984.52,38000000.0,1
1092,138012579.25,65054883.69,13750296.75,84267906.43,38000000.0,1
1093,0.0,71126668.6,98639704.97,43308473.12,35000000.0,0
1094,91241402.0,191533228.41,145205631.75,131963949.0,30000000.0,1
1095,74290008.0,53435142.86,42717694.64,84267906.43,38000000.0,0
1096,63277785.67,52612080.8,89191399.08,87678973.22,38000000.0,0
1097,138012579.25,75418390.71,70894973.87,36658134.33,38000000.0,0
1098,28921490.0,38942440.2,48814135.16,173730021.79,57000000.0,0
1099,47536959.0,39472674.79,47536959.0,47536959.0,10000000.0,1
1100,201185312.0,52261818.09,93884309.59,76460312.2,38000000.0,0
1101,22851475.44,73525903.26,77255412.1,54605147.0,15000000.0,1
1102,72537581.25,184337572.69,179874635.19,338393100.125,38000000.0,1
1103,3241097.5,47599603.05,122098643.96,145576100.89,37000000.0,0
1104,23056651.4,69611115.12,58846779.42,0.0,38000000.0,0
1105,79022027.0,93147748.99,211384837.28,48326109.0,55000000.0,0
1106,37521857.17,36892439.29,85195830.78,57967992.0,32000000.0,0
1107,35655020.83,44207065.99,87365293.1,9793496.0,40000000.0,0
1108,109906372.0,131393847.17,152990111.59,90391834.33,38000000.0,1
1109,95476705.5,130360824.17,127268312.65,95476705.5,35000000.0,1
1110,193175132.0,114762918.66,221710356.51,176706475.12,37000000.0,1
1111,72778268.25,84073303.1,86651617.65,173075277.64,40000000.0,1
1112,102261629.0,109529413.69,100326487.31,144430838.57,37000000.0,1
1113,100076342.0,101727743.55,166636301.93,33358780.67,37000000.0,1
1114,37521857.17,38761442.4,67309469.55,27517168.67,37000000.0,1
1115,20445256.17,84197610.35,143368055.5,154796103.74,37000000.0,1
